#{"t_start": 1680163278.6497958, "env_id": null}
r,l,t
-1115.766667,2842,13.829476
-1115.766667,2842,22.367655
-1115.766667,2842,32.010939
-1115.766667,2842,41.401216
-1115.766667,2842,50.451062
-1115.766667,2842,59.522487
-1115.766667,2842,68.723222
-1115.766667,2842,78.205462
-1115.766667,2842,88.455592
-1115.766667,2842,97.656297
